Sample,tg_ecotypeid_1001_Genomes_xls,As(mg/kg)_min,As(mg/kg)_mean,As(mg/kg)_max,Ca(mg/kg)_min,Ca(mg/kg)_mean,Ca(mg/kg)_max,Cl(mg/kg)_min,Cl(mg/kg)_mean,Cl(mg/kg)_max,Cr(mg/kg)_min,Cr(mg/kg)_mean,Cr(mg/kg)_max,Cu(mg/kg)_min,Cu(mg/kg)_mean,Cu(mg/kg)_max,Fe(mg/kg)_min,Fe(mg/kg)_mean,Fe(mg/kg)_max,K(mg/kg)_min,K(mg/kg)_mean,K(mg/kg)_max,Mn(mg/kg)_min,Mn(mg/kg)_mean,Mn(mg/kg)_max,Ni(mg/kg)_min,Ni(mg/kg)_mean,Ni(mg/kg)_max,P(mg/kg)_min,P(mg/kg)_mean,P(mg/kg)_max,Rb(mg/kg)_min,Rb(mg/kg)_mean,Rb(mg/kg)_max,S(mg/kg)_min,S(mg/kg)_mean,S(mg/kg)_max,Se(mg/kg)_min,Se(mg/kg)_mean,Se(mg/kg)_max,Sr(mg/kg)_min,Sr(mg/kg)_mean,Sr(mg/kg)_max,Zn(mg/kg)_min,Zn(mg/kg)_mean,Zn(mg/kg)_max
1,9620,-25.428616,2.16851734,221.31203,-1959.902,2668.637555,61771.75,-8275.909,-273.0895439,34943.945,-142.87946,8.982252032,8682.979,-44.659306,-0.175909748,243.26317,-142.09708,139.600882,60470.133,-3072.5981,7558.741667,49823.81,-408.07315,21.67204002,1417.7185,-68.34711,-0.176047956,286.1344,-101832.305,-4950.240431,254965.11,-41.630604,56.5376189,398.19946,-24211.15,1308.06022,67197.9,-22.602121,1.981948479,116.84272,-62.20299,-3.883772166,195.10654,-54.173096,20.00011001,2734.0215
2,6984,-33.7058,1.238310537,343.62607,-1693.3854,3689.408484,42038.113,-8684.643,-338.1944097,23887.129,-146.02165,13.90419578,21012.398,-64.32866,1.965790319,418.1528,-172.86804,161.1053272,131245.3,-5541.157,7645.308254,48233.09,-748.99646,53.26285761,2799.7773,-69.90103,-0.04499362,603.47156,-120725.25,-5307.18369,246471.08,-60.67599,47.17585498,393.56552,-36947.26,1024.582572,61668.926,-26.700045,1.772157982,149.90776,-98.00713,-0.693726878,199.97836,-45.825108,34.07882687,1382.7568
3,9507,-18.880499,1.088329673,110.09533,-764.9893,4332.26605,30239.727,-8424.395,-439.4284268,24224.545,-108.609406,7.102159696,8260.098,-53.027576,2.316059643,316.02924,-146.24104,131.3430331,70208.12,-2687.3699,5585.579719,27561.41,-267.20526,25.63433222,1354.6675,-59.9118,-0.401888416,340.7579,-100680.59,-5257.428186,215700.7,-45.208733,52.31160835,303.52298,-23631.404,1472.824947,86243.02,-23.969513,10.56592729,154.96545,-64.97304,0.822093074,182.39172,-45.63985,34.16606721,359.8706
4,9599,-22.900757,1.453421658,116.455215,-993.8459,2060.001558,23754.002,-10926.405,-655.527327,27490.12,-120.81548,38.30509217,36614.137,-48.182964,4.446005547,316.80298,-114.48874,314.2144403,191491.66,-2170.1648,2773.903155,44692.6,-754.77155,31.12363419,3811.2063,-97.50683,0.602903081,522.9078,-161120.98,-9058.490458,214568.27,-64.530846,74.45906357,398.4068,-41488.84,-1521.894846,76097.555,-22.589203,14.0511489,201.96378,-156.97691,0.441929458,301.28256,-61.269802,35.24472608,1620.5176
5,9652,-28.350603,4.350343202,170.1869,-972.5156,4843.338705,28559.64,-8645.505,-468.7922607,36708.54,-157.46368,17.3903635,18797.41,-85.75285,2.595933494,331.34106,-118.47956,194.1440273,104931.4,-4059.9973,5128.535199,37172.934,-364.91467,28.63394083,2864.3425,-213.58156,0.808908779,752.94617,-102947.35,-5102.764899,279838.62,-42.14539,73.36300142,680.1625,-27335.238,939.0277163,74937.055,-24.070126,20.64651222,270.17603,-102.41017,2.058612083,161.38077,-55.31031,36.52745617,424.49417
6,6424,-26.319708,3.270976393,184.58208,-1639.1683,3221.576139,47171.746,-9111.273,473.9984273,44633.504,-154.81818,10.87616425,29218.906,-50.212593,0.133364107,322.21442,-138.21523,152.2910521,165073.34,-2389.9778,8011.388286,82121.22,-416.49966,12.32169791,3248.759,-146.36392,0.219964216,2264.426,-151613.73,-5784.908026,246095.73,-48.690193,55.70586361,409.17084,-39449.312,803.7447939,100845.64,-25.57433,3.640523319,126.78905,-154.76013,1.005888608,584.1068,-61.47013,18.18856426,278.9637
7,7329,-30.852545,1.322673433,144.06084,-1793.7957,4572.108545,28809.146,-13017.991,1537.271392,82858.15,-136.8954,12.51044174,29220.129,-84.250206,2.415981897,298.6079,-166.1897,176.8181899,178195.31,-2989.395,7882.808382,90704.11,-322.12784,45.71401397,2701.519,-67.000336,0.219307478,3324.4866,-100971.07,-4230.458493,278864.22,-62.159863,51.54274038,455.4276,-43855.73,2478.217387,93407.37,-25.534386,5.64988204,150.68858,-99.93823,2.186948284,195.84782,-73.32524,48.02740377,702.64014
8,6413,-24.57619,4.786231724,166.30266,-1117.8524,5722.822201,29079.63,-7324.306,-14.87421116,33732.836,-140.1007,4.793457082,2395.4229,-44.431824,-0.063542625,332.5207,-143.86664,116.1961169,16848.709,-3182.5444,3504.357061,21835.41,-165.15033,19.17316524,585.5221,-56.44627,-0.161494634,195.5841,-110280.67,-5617.423226,279195.25,-47.2763,29.77548147,228.59004,-28609.023,1228.197763,60450.785,-25.868149,4.015050924,139.25221,-66.58206,3.925904558,180.32858,-52.693844,21.17070725,408.2057
9,1552,-23.76591,2.808082799,198.52441,-1185.0641,4931.01149,35409.32,-9964.084,-403.8563608,36335.6,-138.34128,4.056877417,20599.332,-67.255295,0.932581773,423.63037,-155.30913,106.5856081,114350.24,-3006.8547,6027.102517,51716.85,-532.01465,18.54127081,1751.3684,-113.533295,-0.464638596,1525.735,-129529.07,-4993.245969,339336.6,-58.955147,55.59476767,465.61307,-26865.775,1165.079984,76072.61,-32.369442,1.004041341,115.832924,-85.59503,3.499492041,187.29564,-66.34717,26.70963184,342.0317
10,8234,-131.85423,2.261207988,181.8744,-964.12915,4224.736648,19269.861,-42095.035,-364.4997142,44898.92,-488.7162,2.79181997,2902.2092,-287.25497,1.731597189,357.75067,-401.47122,74.72420937,16125.565,-8434.683,7425.760843,42599.934,-695.54156,31.19844851,1070.5221,-334.64572,-0.323472173,1095.501,-334677.12,-5393.501746,250367.31,-253.92094,79.23190131,486.14954,-107859.414,496.0188607,69805.67,-165.36191,7.633096284,187.19724,-522.28516,1.030415702,161.91891,-219.43544,30.46762875,718.6895
