Sample,tg_ecotypeid_1001_Genomes_xls,Area(px)_min,Area(px)_mean,Area(px)_max,Eccentricity(0-1)_min,Eccentricity(0-1)_mean,Eccentricity(0-1)_max,Perimeter(px)_min,Perimeter(px)_mean,Perimeter(px)_max,Length(px)_min,Length(px)_mean,Length(px)_max,Width(px)_min,Width(px)_mean,Width(px)_max,Aspect_Ratio(0_1)_min,Aspect_Ratio(0_1)_mean,Aspect_Ratio(0_1)_max,Roundness(0_1)_min,Roundness (0_1)_mean,Roundness(0_1)_max
1,9620,2807,3814.571429,4661,0.564934429,0.758262293,0.895654942,219.9066376,266.1771978,311.4396462,68.95395958,88.53238027,109.2120609,41.4107337,55.48725817,61.5110354,1.211921721,1.614584224,2.248456111,0.47407368,0.679462941,0.783874166
2,6984,3056,4344.285714,6816,0.775779442,0.836553173,0.890562439,242.8355698,281.9820602,352.6173157,87.85060211,100.6701046,126.3157258,42.74404488,54.72023633,69.05634,1.584775592,1.85782531,2.198473747,0.600120689,0.67824155,0.736303179
3,9507,3508,4610.666667,5696,0.682491187,0.794026859,0.867466273,232.0660172,281.6555393,320.0904038,79.13975616,99.50826321,113.4767121,53.2730021,59.29298305,64.36885429,1.368187785,1.681793106,2.010066432,0.67536082,0.730357546,0.818552146
4,9599,3178,4621.8,5206,0.747623458,0.793659528,0.831805687,238.1431816,298.7744658,321.646753,78.53471388,98.74829617,109.408535,52.15669831,59.53477548,64.29545638,1.505745502,1.655020594,1.801584536,0.601454563,0.649410596,0.704186109
5,9652,2203,4106.545455,4971,0.803550271,0.855043642,0.910138202,213.4213562,276.0633574,320.2680733,82.7655054,100.3371856,107.253108,34.29014483,51.91596855,59.422936,1.680003385,1.957010727,2.413682001,0.583407437,0.671228313,0.741968413
6,6424,2874,4610,5987,0.635689311,0.772633694,0.863478146,234.2497834,283.42054,330.0315293,77.6366755,97.31839385,116.87228,43.47648597,60.47957268,69.18480522,1.29542906,1.61759729,1.982607568,0.658170226,0.717218848,0.79591052
7,7329,4623,5607.5,6751,0.771694396,0.825838631,0.875924502,287.9898987,318.4041123,362.0315293,97.90601969,113.1676983,127.7163845,54.39700214,63.3688171,68.02587185,1.57234306,1.790152423,2.072761383,0.646987456,0.694241332,0.76499807
8,6413,3165,3826.8,4891,0.684683737,0.763747445,0.852126163,238.7350647,260.1860315,305.119841,79.68480317,88.53487942,109.4849846,49.12413922,55.70390615,60.52277739,1.372042685,1.595677115,1.910816779,0.660186483,0.710044485,0.792861116
9,1552,2595,4460.25,6170,0.744447701,0.833423503,0.881405031,208.0660172,285.2411614,340.6173157,74.82634002,101.8710884,119.9283155,44.63696394,55.60464118,66.24554388,1.497721716,1.838582755,2.117023685,0.645273772,0.680370107,0.753260022
10,8234,3387,3936.75,4430,0.773822598,0.820692116,0.909468584,253.9066376,268.3971228,284.0904038,89.60861122,94.57815902,102.949226,42.80347224,53.42149362,58.66963108,1.578775226,1.790121195,2.405160623,0.595344182,0.686144685,0.720447426
